id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2695;2158.4;9;57;1;368.85;134;107.3
452;03452;Aurich;3008;1585.7;14;49;1;233.66;119;62.7
101;03101;"Braunschweig, Stadt";5422;2174;40;160;0;2813.7;276;110.7
351;03351;Celle;4047;2260.8;6;61;1;260.96;185;103.3
453;03453;Cloppenburg;9775;5727;46;146;0;688.21;302;176.9
352;03352;Cuxhaven;4144;2092.5;25;163;2;201.27;153;77.3
401;03401;"Delmenhorst, Stadt";2901;3740.4;7;62;0;4645.32;159;205
251;03251;Diepholz;5807;2674.9;66;89;0;291.66;270;124.4
402;03402;"Emden, Stadt";881;1765.1;8;7;0;784.23;52;104.2
454;03454;Emsland;11280;3450;70;169;3;391.17;419;128.2
455;03455;Friesland;1471;1490.3;15;40;0;241.33;66;66.9
151;03151;Gifhorn;5212;2952.6;38;172;0;332.51;189;107.1
153;03153;Goslar;2204;1617.1;28;107;0;227.99;127;93.2
456;03456;"Grafschaft Bentheim";4550;3317.2;51;112;1;463.44;205;149.5
159;03159;Göttingen;6861;2104.3;54;234;1;390.85;264;81
252;03252;Hameln-Pyrmont;3771;2538.6;51;94;0;472.83;179;120.5
241;03241;"Hannover, Region";42285;3654.3;383;939;3;1840.78;1578;136.4
353;03353;Harburg;5847;2298.1;45;103;1;468.34;219;86.1
358;03358;Heidekreis;2925;2079.3;12;98;1;155.47;135;96
154;03154;Helmstedt;2122;2324.3;21;88;1;313.84;98;107.3
254;03254;Hildesheim;7752;2810.6;55;267;0;641.55;304;110.2
255;03255;Holzminden;1368;1941.6;18;57;1;197.04;64;90.8
457;03457;Leer;3849;2254.1;35;49;0;354.51;216;126.5
354;03354;Lüchow-Dannenberg;656;1355;4;23;0;53.46;22;45.4
355;03355;Lüneburg;2889;1568.9;35;53;1;217.58;144;78.2
256;03256;"Nienburg (Weser)";3230;2660.8;23;143;2;230.58;148;121.9
155;03155;Northeim;1971;1490;17;40;0;155.35;97;73.3
458;03458;Oldenburg;4432;3386;27;108;0;416.21;134;102.4
403;03403;"Oldenburg (Oldb), Stadt";3603;2131;28;44;0;3495;184;108.8
459;03459;Osnabrück;13888;3878.5;85;284;2;654.54;488;136.3
404;03404;"Osnabrück, Stadt";6517;3943.7;43;91;0;5439.9;301;182.1
356;03356;Osterholz;2378;2087.3;21;58;1;364.35;102;89.5
157;03157;Peine;4661;3457.7;0;96;0;868.78;209;155
357;03357;"Rotenburg (Wümme)";3336;2036.9;36;80;0;160.79;159;97.1
102;03102;"Salzgitter, Stadt";4373;4193.1;53;62;0;1947.97;342;327.9
257;03257;Schaumburg;4085;2588.4;64;64;2;604.6;255;161.6
359;03359;Stade;4285;2095.2;70;109;0;338.1;258;126.2
360;03360;Uelzen;1999;2163.7;24;107;1;136.68;120;129.9
460;03460;Vechta;7535;5276.1;62;81;0;925.45;436;305.3
361;03361;Verden;3409;2485.9;31;50;0;431.89;148;107.9
461;03461;Wesermarsch;2913;3288.4;13;102;0;353.19;74;83.5
405;03405;"Wilhelmshaven, Stadt";1665;2188.2;20;46;0;1555.06;42;55.2
462;03462;Wittmund;1100;1932.3;-1;32;0;167.46;62;108.9
158;03158;Wolfenbüttel;2434;2034.7;48;91;0;336.05;148;123.7
103;03103;"Wolfsburg, Stadt";3184;2560.1;75;79;1;1556.13;254;204.2
