Meldedatum;id;GKZ;Landkreis;"bestätigte Fälle";"Fälle vergangene 7-Tage";"7-Tagesinzidenz pro 100.000 Einwohner"
24.02.2020;101;03101;"Braunschweig, Stadt";0;0;0
24.02.2020;403;03403;"Oldenburg (Oldb), Stadt";0;0;0
24.02.2020;456;03456;"Grafschaft Bentheim";0;0;0
24.02.2020;157;03157;Peine;0;0;0
24.02.2020;351;03351;Celle;0;0;0
24.02.2020;151;03151;Gifhorn;0;0;0
24.02.2020;401;03401;"Delmenhorst, Stadt";0;0;0
24.02.2020;256;03256;"Nienburg (Weser)";0;0;0
24.02.2020;354;03354;Lüchow-Dannenberg;0;0;0
24.02.2020;359;03359;Stade;0;0;0
24.02.2020;457;03457;Leer;0;0;0
24.02.2020;357;03357;"Rotenburg (Wümme)";0;0;0
24.02.2020;155;03155;Northeim;0;0;0
24.02.2020;353;03353;Harburg;0;0;0
24.02.2020;360;03360;Uelzen;0;0;0
24.02.2020;103;03103;"Wolfsburg, Stadt";0;0;0
24.02.2020;461;03461;Wesermarsch;0;0;0
24.02.2020;358;03358;Heidekreis;0;0;0
24.02.2020;355;03355;Lüneburg;0;0;0
24.02.2020;251;03251;Diepholz;0;0;0
24.02.2020;404;03404;"Osnabrück, Stadt";0;0;0
24.02.2020;356;03356;Osterholz;0;0;0
24.02.2020;452;03452;Aurich;0;0;0
24.02.2020;158;03158;Wolfenbüttel;0;0;0
24.02.2020;254;03254;Hildesheim;0;0;0
24.02.2020;458;03458;Oldenburg;0;0;0
24.02.2020;455;03455;Friesland;0;0;0
24.02.2020;454;03454;Emsland;0;0;0
24.02.2020;154;03154;Helmstedt;0;0;0
24.02.2020;102;03102;"Salzgitter, Stadt";0;0;0
24.02.2020;462;03462;Wittmund;0;0;0
24.02.2020;402;03402;"Emden, Stadt";0;0;0
24.02.2020;257;03257;Schaumburg;0;0;0
24.02.2020;352;03352;Cuxhaven;0;0;0
24.02.2020;159;03159;Göttingen;0;0;0
24.02.2020;405;03405;"Wilhelmshaven, Stadt";0;0;0
24.02.2020;453;03453;Cloppenburg;0;0;0
24.02.2020;361;03361;Verden;0;0;0
24.02.2020;153;03153;Goslar;0;0;0
24.02.2020;241;03241;"Hannover, Region";0;0;0
24.02.2020;459;03459;Osnabrück;0;0;0
24.02.2020;252;03252;Hameln-Pyrmont;0;0;0
24.02.2020;451;03451;Ammerland;0;0;0
24.02.2020;460;03460;Vechta;0;0;0
24.02.2020;255;03255;Holzminden;0;0;0
25.02.2020;361;03361;Verden;0;0;0
25.02.2020;401;03401;"Delmenhorst, Stadt";0;0;0
25.02.2020;402;03402;"Emden, Stadt";0;0;0
25.02.2020;452;03452;Aurich;0;0;0
25.02.2020;252;03252;Hameln-Pyrmont;0;0;0
25.02.2020;102;03102;"Salzgitter, Stadt";0;0;0
25.02.2020;257;03257;Schaumburg;0;0;0
25.02.2020;352;03352;Cuxhaven;0;0;0
25.02.2020;251;03251;Diepholz;0;0;0
25.02.2020;462;03462;Wittmund;0;0;0
25.02.2020;255;03255;Holzminden;0;0;0
25.02.2020;451;03451;Ammerland;0;0;0
25.02.2020;355;03355;Lüneburg;0;0;0
25.02.2020;403;03403;"Oldenburg (Oldb), Stadt";0;0;0
25.02.2020;404;03404;"Osnabrück, Stadt";0;0;0
25.02.2020;254;03254;Hildesheim;0;0;0
25.02.2020;154;03154;Helmstedt;0;0;0
25.02.2020;458;03458;Oldenburg;0;0;0
25.02.2020;405;03405;"Wilhelmshaven, Stadt";0;0;0
25.02.2020;360;03360;Uelzen;0;0;0
25.02.2020;454;03454;Emsland;0;0;0
25.02.2020;457;03457;Leer;0;0;0
25.02.2020;358;03358;Heidekreis;0;0;0
25.02.2020;103;03103;"Wolfsburg, Stadt";0;0;0
25.02.2020;159;03159;Göttingen;0;0;0
25.02.2020;256;03256;"Nienburg (Weser)";0;0;0
25.02.2020;459;03459;Osnabrück;0;0;0
25.02.2020;455;03455;Friesland;0;0;0
25.02.2020;241;03241;"Hannover, Region";0;0;0
25.02.2020;460;03460;Vechta;0;0;0
25.02.2020;158;03158;Wolfenbüttel;0;0;0
25.02.2020;357;03357;"Rotenburg (Wümme)";0;0;0
25.02.2020;101;03101;"Braunschweig, Stadt";0;0;0
25.02.2020;153;03153;Goslar;0;0;0
25.02.2020;356;03356;Osterholz;0;0;0
25.02.2020;155;03155;Northeim;0;0;0
25.02.2020;359;03359;Stade;0;0;0
25.02.2020;353;03353;Harburg;0;0;0
25.02.2020;453;03453;Cloppenburg;0;0;0
25.02.2020;151;03151;Gifhorn;0;0;0
25.02.2020;354;03354;Lüchow-Dannenberg;0;0;0
25.02.2020;461;03461;Wesermarsch;0;0;0
25.02.2020;351;03351;Celle;0;0;0
25.02.2020;157;03157;Peine;0;0;0
25.02.2020;456;03456;"Grafschaft Bentheim";0;0;0
26.02.2020;101;03101;"Braunschweig, Stadt";0;0;0
26.02.2020;458;03458;Oldenburg;0;0;0
26.02.2020;155;03155;Northeim;0;0;0
26.02.2020;356;03356;Osterholz;0;0;0
26.02.2020;460;03460;Vechta;0;0;0
26.02.2020;257;03257;Schaumburg;0;0;0
26.02.2020;354;03354;Lüchow-Dannenberg;0;0;0
26.02.2020;357;03357;"Rotenburg (Wümme)";0;0;0
26.02.2020;360;03360;Uelzen;0;0;0
26.02.2020;401;03401;"Delmenhorst, Stadt";0;0;0
26.02.2020;462;03462;Wittmund;0;0;0
26.02.2020;461;03461;Wesermarsch;0;0;0
26.02.2020;353;03353;Harburg;0;0;0
26.02.2020;102;03102;"Salzgitter, Stadt";0;0;0
26.02.2020;402;03402;"Emden, Stadt";0;0;0
26.02.2020;451;03451;Ammerland;0;0;0
26.02.2020;459;03459;Osnabrück;0;0;0
26.02.2020;153;03153;Goslar;0;0;0
26.02.2020;103;03103;"Wolfsburg, Stadt";0;0;0
26.02.2020;351;03351;Celle;0;0;0
26.02.2020;404;03404;"Osnabrück, Stadt";0;0;0
26.02.2020;151;03151;Gifhorn;0;0;0
26.02.2020;457;03457;Leer;0;0;0
26.02.2020;403;03403;"Oldenburg (Oldb), Stadt";0;0;0
26.02.2020;251;03251;Diepholz;0;0;0
26.02.2020;355;03355;Lüneburg;0;0;0
26.02.2020;252;03252;Hameln-Pyrmont;0;0;0
26.02.2020;358;03358;Heidekreis;0;0;0
26.02.2020;255;03255;Holzminden;0;0;0
26.02.2020;361;03361;Verden;0;0;0
26.02.2020;405;03405;"Wilhelmshaven, Stadt";0;0;0
26.02.2020;256;03256;"Nienburg (Weser)";0;0;0
26.02.2020;352;03352;Cuxhaven;0;0;0
26.02.2020;456;03456;"Grafschaft Bentheim";0;0;0
26.02.2020;254;03254;Hildesheim;0;0;0
26.02.2020;452;03452;Aurich;0;0;0
26.02.2020;154;03154;Helmstedt;0;0;0
26.02.2020;157;03157;Peine;0;0;0
26.02.2020;159;03159;Göttingen;0;0;0
26.02.2020;454;03454;Emsland;0;0;0
26.02.2020;158;03158;Wolfenbüttel;0;0;0
26.02.2020;241;03241;"Hannover, Region";0;0;0
26.02.2020;359;03359;Stade;0;0;0
26.02.2020;455;03455;Friesland;0;0;0
26.02.2020;453;03453;Cloppenburg;0;0;0
27.02.2020;254;03254;Hildesheim;0;0;0
27.02.2020;257;03257;Schaumburg;0;0;0
27.02.2020;157;03157;Peine;0;0;0
27.02.2020;241;03241;"Hannover, Region";0;0;0
27.02.2020;452;03452;Aurich;0;0;0
27.02.2020;354;03354;Lüchow-Dannenberg;0;0;0
27.02.2020;404;03404;"Osnabrück, Stadt";0;0;0
27.02.2020;456;03456;"Grafschaft Bentheim";0;0;0
27.02.2020;251;03251;Diepholz;0;0;0
27.02.2020;352;03352;Cuxhaven;0;0;0
27.02.2020;402;03402;"Emden, Stadt";0;0;0
27.02.2020;357;03357;"Rotenburg (Wümme)";0;0;0
27.02.2020;401;03401;"Delmenhorst, Stadt";0;0;0
27.02.2020;455;03455;Friesland;0;0;0
27.02.2020;256;03256;"Nienburg (Weser)";0;0;0
27.02.2020;405;03405;"Wilhelmshaven, Stadt";0;0;0
27.02.2020;359;03359;Stade;0;0;0
27.02.2020;358;03358;Heidekreis;0;0;0
27.02.2020;451;03451;Ammerland;0;0;0
27.02.2020;255;03255;Holzminden;0;0;0
27.02.2020;462;03462;Wittmund;0;0;0
27.02.2020;153;03153;Goslar;0;0;0
27.02.2020;361;03361;Verden;0;0;0
27.02.2020;351;03351;Celle;0;0;0
27.02.2020;454;03454;Emsland;0;0;0
27.02.2020;103;03103;"Wolfsburg, Stadt";0;0;0
27.02.2020;159;03159;Göttingen;0;0;0
27.02.2020;154;03154;Helmstedt;0;0;0
27.02.2020;252;03252;Hameln-Pyrmont;0;0;0
27.02.2020;158;03158;Wolfenbüttel;0;0;0
27.02.2020;353;03353;Harburg;0;0;0
27.02.2020;403;03403;"Oldenburg (Oldb), Stadt";0;0;0
27.02.2020;355;03355;Lüneburg;0;0;0
27.02.2020;101;03101;"Braunschweig, Stadt";0;0;0
27.02.2020;453;03453;Cloppenburg;0;0;0
27.02.2020;457;03457;Leer;0;0;0
27.02.2020;461;03461;Wesermarsch;0;0;0
27.02.2020;102;03102;"Salzgitter, Stadt";0;0;0
27.02.2020;155;03155;Northeim;0;0;0
27.02.2020;356;03356;Osterholz;0;0;0
27.02.2020;360;03360;Uelzen;0;0;0
27.02.2020;458;03458;Oldenburg;0;0;0
27.02.2020;460;03460;Vechta;0;0;0
27.02.2020;459;03459;Osnabrück;0;0;0
27.02.2020;151;03151;Gifhorn;0;0;0
28.02.2020;101;03101;"Braunschweig, Stadt";0;0;0
28.02.2020;102;03102;"Salzgitter, Stadt";0;0;0
28.02.2020;461;03461;Wesermarsch;0;0;0
28.02.2020;401;03401;"Delmenhorst, Stadt";0;0;0
28.02.2020;103;03103;"Wolfsburg, Stadt";0;0;0
28.02.2020;462;03462;Wittmund;0;0;0
28.02.2020;451;03451;Ammerland;0;0;0
28.02.2020;405;03405;"Wilhelmshaven, Stadt";0;0;0
28.02.2020;256;03256;"Nienburg (Weser)";0;0;0
28.02.2020;151;03151;Gifhorn;0;0;0
28.02.2020;361;03361;Verden;0;0;0
28.02.2020;158;03158;Wolfenbüttel;0;0;0
28.02.2020;257;03257;Schaumburg;0;0;0
28.02.2020;356;03356;Osterholz;0;0;0
28.02.2020;360;03360;Uelzen;0;0;0
28.02.2020;403;03403;"Oldenburg (Oldb), Stadt";0;0;0
28.02.2020;252;03252;Hameln-Pyrmont;0;0;0
28.02.2020;155;03155;Northeim;0;0;0
28.02.2020;459;03459;Osnabrück;0;0;0
28.02.2020;254;03254;Hildesheim;0;0;0
28.02.2020;359;03359;Stade;0;0;0
28.02.2020;454;03454;Emsland;0;0;0
28.02.2020;404;03404;"Osnabrück, Stadt";0;0;0
28.02.2020;457;03457;Leer;0;0;0
28.02.2020;355;03355;Lüneburg;0;0;0
28.02.2020;452;03452;Aurich;0;0;0
28.02.2020;453;03453;Cloppenburg;0;0;0
28.02.2020;241;03241;"Hannover, Region";0;0;0
28.02.2020;153;03153;Goslar;0;0;0
28.02.2020;353;03353;Harburg;0;0;0
28.02.2020;159;03159;Göttingen;0;0;0
28.02.2020;251;03251;Diepholz;0;0;0
28.02.2020;358;03358;Heidekreis;0;0;0
28.02.2020;460;03460;Vechta;0;0;0
28.02.2020;154;03154;Helmstedt;0;0;0
28.02.2020;352;03352;Cuxhaven;0;0;0
28.02.2020;455;03455;Friesland;0;0;0
