id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2821;2259.3;12;59;0;386.1;148;118.5
452;03452;Aurich;3096;1632.1;1;50;0;240.49;98;51.7
101;03101;"Braunschweig, Stadt";5612;2250.1;25;165;0;2912.3;234;93.8
351;03351;Celle;4190;2340.6;5;62;0;270.18;164;91.6
453;03453;Cloppenburg;10011;5865.3;9;148;0;704.83;279;163.5
352;03352;Cuxhaven;4268;2155.1;8;165;0;207.29;147;74.2
401;03401;"Delmenhorst, Stadt";3022;3896.4;0;62;0;4839.07;153;197.3
251;03251;Diepholz;5965;2747.7;53;89;0;299.6;247;113.8
402;03402;"Emden, Stadt";941;1885.3;0;7;0;837.64;68;136.2
454;03454;Emsland;11651;3563.5;24;173;1;404.04;455;139.2
455;03455;Friesland;1498;1517.7;3;40;0;245.76;46;46.6
151;03151;Gifhorn;5334;3021.7;0;173;0;340.3;164;92.9
153;03153;Goslar;2294;1683.2;24;107;0;237.3;128;93.9
456;03456;"Grafschaft Bentheim";4746;3460.1;45;113;0;483.4;252;183.7
159;03159;Göttingen;7036;2158;0;237;0;400.82;250;76.7
252;03252;Hameln-Pyrmont;3885;2615.3;13;94;0;487.12;182;122.5
241;03241;"Hannover, Region";43620;3769.7;186;947;0;1898.89;1818;157.1
353;03353;Harburg;6007;2361;2;104;0;481.16;209;82.1
358;03358;Heidekreis;3037;2158.9;0;99;0;161.42;128;91
154;03154;Helmstedt;2173;2380.1;6;88;0;321.38;74;81.1
254;03254;Hildesheim;7980;2893.2;17;268;0;660.42;320;116
255;03255;Holzminden;1404;1992.7;9;57;0;202.23;53;75.2
457;03457;Leer;4008;2347.2;24;52;0;369.16;195;114.2
354;03354;Lüchow-Dannenberg;677;1398.4;0;23;0;55.17;25;51.6
355;03355;Lüneburg;2996;1627;27;54;0;225.64;143;77.7
256;03256;"Nienburg (Weser)";3319;2734.2;8;143;0;236.93;119;98
155;03155;Northeim;2072;1566.3;10;46;0;163.31;120;90.7
458;03458;Oldenburg;4566;3488.4;4;108;0;428.8;146;111.5
403;03403;"Oldenburg (Oldb), Stadt";3779;2235.1;9;44;0;3665.73;201;118.9
459;03459;Osnabrück;14248;3979;35;288;0;671.5;499;139.4
404;03404;"Osnabrück, Stadt";6746;4082.3;19;93;0;5631.05;305;184.6
356;03356;Osterholz;2431;2133.8;0;58;0;372.47;77;67.6
157;03157;Peine;4892;3629.1;20;97;0;911.84;235;174.3
357;03357;"Rotenburg (Wümme)";3455;2109.5;40;81;1;166.52;161;98.3
102;03102;"Salzgitter, Stadt";4648;4456.8;30;65;0;2070.47;376;360.5
257;03257;Schaumburg;4228;2679;6;65;0;625.77;211;133.7
359;03359;Stade;4454;2177.9;0;110;0;351.43;245;119.8
360;03360;Uelzen;2044;2212.4;0;107;0;139.75;70;75.8
460;03460;Vechta;7925;5549.2;26;81;0;973.35;467;327
361;03361;Verden;3540;2581.4;0;52;0;448.48;167;121.8
461;03461;Wesermarsch;3005;3392.3;6;102;0;364.34;105;118.5
405;03405;"Wilhelmshaven, Stadt";1732;2276.3;3;46;0;1617.63;71;93.3
462;03462;Wittmund;1124;1974.5;0;32;0;171.12;24;42.2
158;03158;Wolfenbüttel;2492;2083.2;26;91;0;344.06;86;71.9
103;03103;"Wolfsburg, Stadt";3341;2686.3;30;80;0;1632.86;261;209.9
