Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;7916;2107.8;607;161.6;0;0
m;10-19;12129;3046.3;734;184.4;0;0
m;20-29;19770;4009.3;867;175.8;2;0.4
m;30-39;17214;3552.4;843;174;13;2.7
m;40-49;15313;3194.9;752;156.9;32;6.7
m;50-59;17794;2682.9;761;114.7;104;15.7
m;60-69;9849;1993.2;382;77.3;289;58.5
m;70-79;5444;1569.5;160;46.1;638;183.9
m;80-89;4615;2417;84;44;1181;618.5
m;90+;1138;5239.2;12;55.2;411;1892.2
w;0-9;7124;1999.7;546;153.3;0;0
w;10-19;11911;3189.2;694;185.8;0;0
w;20-29;18757;4234.6;755;170.4;3;0.7
w;30-39;16581;3552.5;719;154;6;1.3
w;40-49;16368;3378.8;661;136.4;20;4.1
w;50-59;18195;2744.3;612;92.3;51;7.7
w;60-69;9617;1853.7;349;67.3;159;30.6
w;70-79;5615;1408.5;163;40.9;367;92.1
w;80-89;8013;2836.3;99;35;1156;409.2
w;90+;3729;6299.2;38;64.2;754;1273.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
