Meldedatum;"Anzahl Fälle";7-Tages-Inzidenz;Todesfälle
04.02.2020;1;0;0
05.02.2020;0;0;0
06.02.2020;0;0;0
07.02.2020;0;0;0
08.02.2020;0;0;0
09.02.2020;0;0;0
10.02.2020;0;0;0
11.02.2020;0;0;0
12.02.2020;0;0;0
13.02.2020;0;0;0
14.02.2020;0;0;0
15.02.2020;0;0;0
16.02.2020;0;0;0
17.02.2020;0;0;0
18.02.2020;0;0;0
19.02.2020;0;0;0
20.02.2020;0;0;0
21.02.2020;0;0;0
22.02.2020;0;0;0
23.02.2020;0;0;0
24.02.2020;0;0;0
25.02.2020;0;0;0
26.02.2020;0;0;0
27.02.2020;0;0;0
28.02.2020;0;0;0
29.02.2020;0;0;0
01.03.2020;1;0;0
02.03.2020;2;0;0
03.03.2020;6;0;0
04.03.2020;4;0.1;0
05.03.2020;6;0.2;0
06.03.2020;7;0.2;0
07.03.2020;8;0.3;0
08.03.2020;4;0.4;0
09.03.2020;14;0.5;0
10.03.2020;34;0.6;1
11.03.2020;62;1;0
12.03.2020;68;1.7;1
13.03.2020;91;2.5;0
14.03.2020;77;3.5;0
15.03.2020;68;4.4;1
16.03.2020;157;5.2;0
17.03.2020;176;7;1
18.03.2020;272;8.7;5
19.03.2020;249;11.4;2
20.03.2020;265;13.6;7
21.03.2020;179;15.8;4
22.03.2020;108;17.1;0
23.03.2020;243;17.6;5
24.03.2020;294;18.7;6
25.03.2020;377;20.1;17
26.03.2020;372;21.5;11
27.03.2020;411;23;36
28.03.2020;346;24.8;25
29.03.2020;178;26.9;16
30.03.2020;311;27.8;21
31.03.2020;358;28.6;15
01.04.2020;368;29.4;20
02.04.2020;332;29.3;22
03.04.2020;388;28.8;32
04.04.2020;223;28.5;20
05.04.2020;142;27;9
06.04.2020;230;26.5;25
07.04.2020;372;25.5;19
08.04.2020;334;25.7;27
09.04.2020;313;25.3;18
10.04.2020;260;25;16
11.04.2020;128;23.4;9
12.04.2020;150;22.3;12
13.04.2020;80;22.4;11
14.04.2020;166;20.5;19
15.04.2020;226;17.9;21
16.04.2020;242;16.6;11
17.04.2020;197;15.7;11
18.04.2020;142;14.9;7
19.04.2020;96;15;9
20.04.2020;131;14.4;11
21.04.2020;162;15;10
22.04.2020;160;15;8
23.04.2020;140;14.1;12
24.04.2020;118;12.9;7
25.04.2020;66;11.9;3
26.04.2020;49;10.9;2
27.04.2020;75;10.3;10
28.04.2020;101;9.6;7
29.04.2020;85;8.9;8
30.04.2020;84;7.9;7
01.05.2020;39;7.2;0
02.05.2020;36;6.2;0
03.05.2020;14;5.9;0
04.05.2020;93;5.4;8
05.05.2020;80;5.7;7
06.05.2020;94;5.4;2
07.05.2020;87;5.5;1
08.05.2020;74;5.5;3
09.05.2020;29;6;2
10.05.2020;10;5.9;1
11.05.2020;48;5.8;1
12.05.2020;50;5.3;4
13.05.2020;79;4.9;4
14.05.2020;40;4.7;1
15.05.2020;41;4.1;3
16.05.2020;22;3.7;1
17.05.2020;9;3.6;1
18.05.2020;69;3.6;3
19.05.2020;63;3.9;5
20.05.2020;94;4;1
21.05.2020;50;4.2;0
22.05.2020;95;4.4;4
23.05.2020;37;5;1
24.05.2020;9;5.2;0
25.05.2020;46;5.2;1
26.05.2020;60;4.9;2
27.05.2020;123;4.9;0
28.05.2020;76;5.3;1
29.05.2020;64;5.6;1
30.05.2020;59;5.2;1
31.05.2020;23;5.5;1
01.06.2020;42;5.6;0
02.06.2020;56;5.6;1
03.06.2020;121;5.5;1
04.06.2020;100;5.5;1
05.06.2020;93;5.8;0
06.06.2020;60;6.2;0
07.06.2020;32;6.2;0
08.06.2020;55;6.3;1
09.06.2020;76;6.5;0
10.06.2020;64;6.7;1
11.06.2020;50;6;0
12.06.2020;75;5.4;4
13.06.2020;30;5.2;0
14.06.2020;13;4.8;0
15.06.2020;37;4.5;1
16.06.2020;59;4.3;1
17.06.2020;55;4.1;4
18.06.2020;84;4;2
19.06.2020;77;4.4;0
20.06.2020;43;4.4;0
21.06.2020;12;4.6;0
22.06.2020;16;4.6;0
23.06.2020;71;4.3;1
24.06.2020;34;4.5;0
25.06.2020;41;4.2;0
26.06.2020;39;3.7;2
27.06.2020;29;3.2;0
28.06.2020;14;3;0
29.06.2020;32;3.1;1
30.06.2020;26;3.3;0
01.07.2020;34;2.7;0
02.07.2020;33;2.7;1
03.07.2020;32;2.6;0
04.07.2020;6;2.5;1
05.07.2020;17;2.2;1
06.07.2020;28;2.3;1
07.07.2020;14;2.2;0
08.07.2020;19;2.1;1
09.07.2020;14;1.9;0
10.07.2020;11;1.6;0
11.07.2020;3;1.4;0
12.07.2020;2;1.3;0
13.07.2020;21;1.1;0
14.07.2020;30;1.1;1
15.07.2020;30;1.3;0
16.07.2020;26;1.4;1
17.07.2020;40;1.5;0
18.07.2020;76;1.9;0
19.07.2020;11;2.8;0
20.07.2020;20;2.9;0
21.07.2020;65;2.9;0
22.07.2020;56;3.4;0
23.07.2020;29;3.7;0
24.07.2020;22;3.7;1
25.07.2020;33;3.5;0
26.07.2020;21;3;0
27.07.2020;27;3.1;0
28.07.2020;63;3.2;0
29.07.2020;51;3.1;0
30.07.2020;61;3.1;1
31.07.2020;60;3.5;1
01.08.2020;62;4;0
02.08.2020;15;4.3;0
03.08.2020;65;4.2;0
04.08.2020;61;4.7;0
05.08.2020;77;4.7;0
06.08.2020;83;5;0
07.08.2020;92;5.3;1
08.08.2020;40;5.7;0
09.08.2020;16;5.4;0
10.08.2020;90;5.4;0
11.08.2020;63;5.7;0
12.08.2020;108;5.8;1
13.08.2020;91;6.2;0
14.08.2020;76;6.3;0
15.08.2020;58;6.1;1
16.08.2020;17;6.3;1
17.08.2020;104;6.3;1
18.08.2020;157;6.5;2
19.08.2020;149;7.6;0
20.08.2020;85;8.2;1
21.08.2020;104;8.1;0
22.08.2020;47;8.4;0
23.08.2020;16;8.3;0
24.08.2020;125;8.3;1
25.08.2020;115;8.5;0
26.08.2020;100;8;1
27.08.2020;112;7.4;1
28.08.2020;83;7.7;0
29.08.2020;64;7.5;0
